conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_text,nama_gunung_ekstraksi
1874224701024985386,Tue Dec 31 22:42:44 +0000 2024,1,Terjadi erupsi G. Semeru pada hari Selasa 31 Desember 2024 pukul 21:50 WIB. Erupsi terekam di seismograf dengan amplitudo maksimum 22 mm dan durasi 171 detik. https://t.co/x1EEDOpWDx via @id_magma,1874224701024985386,,,in,,0,0,0,https://x.com/undefined/status/1874224701024985386,1677825848,,terjadi erupsi g. semeru pada hari selasa 31 desember 2024 pukul 21:50 wib. erupsi terekam di seismograf dengan amplitudo maksimum 22 mm dan durasi 171 detik. via,Semeru
1874224648365506674,Tue Dec 31 22:42:32 +0000 2024,1,Terjadi erupsi G. Semeru pada hari Selasa 31 Desember 2024 pukul 20:24 WIB. Erupsi terekam di seismograf dengan amplitudo maksimum 17 mm dan durasi 88 detik. https://t.co/TtZnq2XdQt via @id_magma,1874224648365506674,,,in,,0,0,0,https://x.com/undefined/status/1874224648365506674,1677825848,,terjadi erupsi g. semeru pada hari selasa 31 desember 2024 pukul 20:24 wib. erupsi terekam di seismograf dengan amplitudo maksimum 17 mm dan durasi 88 detik. via,Semeru
1874224630107717735,Tue Dec 31 22:42:27 +0000 2024,1,Terjadi erupsi G. Semeru pada hari Selasa 31 Desember 2024 pukul 19:37 WIB. Erupsi terekam di seismograf dengan amplitudo maksimum 20 mm dan durasi 115 detik. https://t.co/ENMJpLELEv via @id_magma,1874224630107717735,,,in,,0,0,0,https://x.com/undefined/status/1874224630107717735,1677825848,,terjadi erupsi g. semeru pada hari selasa 31 desember 2024 pukul 19:37 wib. erupsi terekam di seismograf dengan amplitudo maksimum 20 mm dan durasi 115 detik. via,Semeru
1874224616711053794,Tue Dec 31 22:42:24 +0000 2024,2,Terjadi erupsi G. Marapi pada hari Selasa 31 Desember 2024 pukul 19:08 WIB tinggi kolom abu teramati ± 500 m di atas puncak. Erupsi terekam di seismograf dengan amplitudo maksimum 30 mm dan durasi 28 detik. https://t.co/V6vOkYbRKR via @id_magma https://t.co/qje3JpLKha,1874224616711053794,https://pbs.twimg.com/media/GgKVWxwa0AAGh6S.jpg,,in,,0,0,0,https://x.com/undefined/status/1874224616711053794,1677825848,,terjadi erupsi g. marapi pada hari selasa 31 desember 2024 pukul 19:08 wib tinggi kolom abu teramati ± 500 m di atas puncak. erupsi terekam di seismograf dengan amplitudo maksimum 30 mm dan durasi 28 detik. via,Marapi
1874224543726002643,Tue Dec 31 22:42:07 +0000 2024,1,Terjadi erupsi G. Semeru pada hari Selasa 31 Desember 2024 pukul 17:26 WIB. Erupsi terekam di seismograf dengan amplitudo maksimum 22 mm dan durasi 114 detik. https://t.co/XwFVJasPVp via @id_magma,1874224543726002643,,,in,,0,0,0,https://x.com/undefined/status/1874224543726002643,1677825848,,terjadi erupsi g. semeru pada hari selasa 31 desember 2024 pukul 17:26 wib. erupsi terekam di seismograf dengan amplitudo maksimum 22 mm dan durasi 114 detik. via,Semeru
1874224512155471913,Tue Dec 31 22:41:59 +0000 2024,1,Terjadi erupsi G. Semeru pada hari Selasa 31 Desember 2024 pukul 16:18 WIB. Erupsi terekam di seismograf dengan amplitudo maksimum 23 mm dan durasi 124 detik. https://t.co/Jjo5HNo2Sh via @id_magma,1874224512155471913,,,in,,0,0,0,https://x.com/undefined/status/1874224512155471913,1677825848,,terjadi erupsi g. semeru pada hari selasa 31 desember 2024 pukul 16:18 wib. erupsi terekam di seismograf dengan amplitudo maksimum 23 mm dan durasi 124 detik. via,Semeru
1873611277332824087,Tue Dec 31 16:26:58 +0000 2024,0,@tanyarlfes Lampung sinii. Tapi jangan Lampung Barat ya hahaha. Btw kalo malem tetep aja dingin Eh iya berati sender iki tonggone sugeng gunung kelud ya wkwkw,1874130137106808842,,tanyarlfes,in,,0,0,0,https://x.com/undefined/status/1874130137106808842,1505190733376290817,,lampung sinii. tapi jangan lampung barat ya hahaha. btw kalo malem tetep aja dingin eh iya berati sender iki tonggone sugeng gunung kelud ya wkwkw,Kelud
1873948450582389202,Tue Dec 31 14:01:12 +0000 2024,0,Coba perhatikan gunung halimun - Salak... Seperti apa sekarang? Gede - pangrango? Runyam. Rinjani? Area Segara anak makin kayak mall. Apalagi Bukit2 macam Prau dan lainnya yg dibawah 3000mdpl..udah kayak pasar Sampahnya? Ya kyk pasar juga. Berserakan dan Numpuk klo ga di opsih,1874093453430395211,,aksararaska,in,,0,1,0,https://x.com/undefined/status/1874093453430395211,816836265584623616,,coba perhatikan gunung halimun - salak... seperti apa sekarang? gede - pangrango? runyam. rinjani? area segara anak makin kayak mall. apalagi bukit2 macam prau dan lainnya yg dibawah 3000mdpl..udah kayak pasar sampahnya? ya kyk pasar juga. berserakan dan numpuk klo ga di opsih,Rinjani
1874091109980258368,Tue Dec 31 13:51:54 +0000 2024,0,Jelang Pergantian Tahun Gunung Marapi Erupsi Kolom Abu 500 Meter https://t.co/uma3qHTVXL,1874091109980258368,,,in,,0,0,0,https://x.com/undefined/status/1874091109980258368,470629706,,jelang pergantian tahun gunung marapi erupsi kolom abu 500 meter,Marapi
1874088136852046026,Tue Dec 31 13:40:05 +0000 2024,0,Gunung Marapi Erupsi Lontarkan Abu Vulkanik Setinggi 500 Meter https://t.co/PpHS01WEWi,1874088136852046026,,,in,,0,0,0,https://x.com/undefined/status/1874088136852046026,1578222594,,gunung marapi erupsi lontarkan abu vulkanik setinggi 500 meter,Marapi
